Date,commodity1,commodity2,zscore,signal,status,buy price,sell price,mtm,pnl,Cointegration test
2015-09-07,107.4,111.3,3.0800421313265147,,,,,,73750.00000000007,No
2015-09-08,106.75,111.9,1.5549756090208602,,,,,,73750.00000000007,No
2015-09-09,108.15,112.55,1.7210474102871676,,,,,,73750.00000000007,No
2015-09-10,108.05,114.15,0.5052048700420354,,,,,,73750.00000000007,No
2015-09-11,108.5,114.9,0.24767907493339839,,,,,,73750.00000000007,No
2015-09-14,108.65,113.2,1.1702136973941757,,,,,,73750.00000000007,No
2015-09-15,106.95,110.9,1.2922863827848263,,,,,,73750.00000000007,No
2015-09-16,107.2,112.75,0.027120327640300482,,,,,,73750.00000000007,No
2015-09-17,107.45,114.35,-1.3697967790499288,,,,,,73750.00000000007,No
2015-09-18,107.75,113.3,-0.3132894007437576,,,,,,73750.00000000007,No
2015-09-21,106.55,110.5,1.2820812229227696,,,,,,73750.00000000007,No
2015-09-22,106.05,111.55,-0.347335608600192,,,,,,73750.00000000007,No
2015-09-23,104.35,110.35,-0.9261053538843871,,,,,,73750.00000000007,No
2015-09-24,104.05,111.45,-2.267519843545646,,,,,,73750.00000000007,No
2015-09-25,104.3,111.5,-1.5576184900936227,,,,,,73750.00000000007,No
2015-09-28,103.25,109.75,-0.8273414708324413,,,,,,73750.00000000007,Yes
2015-09-29,102.45,109.1,-0.8376162707519287,,,,,,73750.00000000007,Yes
2015-09-30,102.45,110.0,-1.5692453435866653,,,,,,73750.00000000007,No
2015-10-01,101.85,108.1,-0.09729793065683617,,,,,,73750.00000000007,Yes
2015-10-05,100.7,105.95,0.7553776165026185,,,,,,73750.00000000007,Yes
2015-10-06,100.5,106.25,0.2773088623239573,,,,,,73750.00000000007,Yes
2015-10-07,101.25,108.9,-1.843546494720831,,,,,,73750.00000000007,No
2015-10-08,99.95,108.7,-3.1031529473022883,Buy,Buy,99.95,108.7,,73750.00000000007,Yes
2015-10-09,102.75,115.15,-5.3982238741983775,Buy,SL,,,-18250.00000000003,55500.000000000044,Yes
2015-10-12,101.55,116.7,-4.024000864694587,,,,,,55500.000000000044,No
2015-10-13,102.0,115.4,-1.725632846708437,,,,,,55500.000000000044,No
2015-10-14,101.45,116.45,-1.848538205878071,,,,,,55500.000000000044,No
2015-10-15,100.25,116.15,-1.722816593649114,,,,,,55500.000000000044,No
2015-10-16,99.7,116.8,-1.6650160886613956,,,,,,55500.000000000044,No
2015-10-19,98.4,115.85,-1.4672638641703368,,,,,,55500.000000000044,No
2015-10-20,98.15,115.3,-1.1746644074570167,,,,,,55500.000000000044,No
2015-10-21,96.65,112.45,-0.7106823030235158,,,,,,55500.000000000044,No
2015-10-22,94.5,113.55,-1.9375852045557633,,,,,,55500.000000000044,No
2015-10-23,95.4,113.5,-1.334837941222339,,,,,,55500.000000000044,No
2015-10-26,93.85,113.3,-2.0257054629995173,,,,,,55500.000000000044,No
2015-10-27,94.3,113.25,-1.2776796447051277,,,,,,55500.000000000044,No
2015-10-28,94.6,112.65,-0.6104030009692846,,,,,,55500.000000000044,No
2015-10-29,94.5,111.25,0.3904578855217526,,,,,,55500.000000000044,No
2015-10-30,96.2,111.35,2.023918218689479,,,,,,55500.000000000044,No
2015-11-02,97.0,111.35,2.3033352483228127,,,,,,55500.000000000044,No
2015-11-03,98.05,110.95,2.6209720484361214,,,,,,55500.000000000044,No
2015-11-04,97.7,110.1,2.0747425287755186,,,,,,55500.000000000044,No
2015-11-05,99.3,109.05,2.6957001112759196,,,,,,55500.000000000044,No
2015-11-06,100.95,110.35,2.0605028823706406,,,,,,55500.000000000044,No
2015-11-09,100.35,109.8,1.5398496951900789,,,,,,55500.000000000044,No
2015-11-10,99.75,108.2,1.5346112651440473,,,,,,55500.000000000044,No
2015-11-11,99.55,105.9,1.910626644503069,,,,,,55500.000000000044,No
2015-11-12,98.65,106.75,1.0321698348407051,,,,,,55500.000000000044,No
2015-11-13,98.45,106.55,0.8758854712615146,,,,,,55500.000000000044,No
2015-11-16,96.6,105.1,0.49274037011111943,,,,,,55500.000000000044,No
2015-11-17,96.95,104.65,0.7710353044342622,,,,,,55500.000000000044,No
2015-11-18,96.95,104.95,0.43253679204205525,,,,,,55500.000000000044,No
2015-11-19,96.65,104.8,0.05072465528472533,,,,,,55500.000000000044,No
2015-11-20,95.55,104.95,-1.8530014944638724,,,,,,55500.000000000044,No
2015-11-23,95.0,104.7,-2.0551149174683583,,,,,,55500.000000000044,No
2015-11-24,95.8,106.45,-2.633053439139779,,,,,,55500.000000000044,No
2015-11-25,96.4,107.1,-1.8461780040689928,,,,,,55500.000000000044,No
2015-11-26,100.55,109.15,0.558478676755681,,,,,,55500.000000000044,No
2015-11-27,96.95,108.05,-1.902480830058462,,,,,,55500.000000000044,No
2015-11-30,97.0,109.85,-2.864470309532282,,,,,,55500.000000000044,No
2015-12-01,98.9,110.8,-1.2277784840227717,,,,,,55500.000000000044,No
2015-12-02,99.25,110.0,-0.2643342169692724,,,,,,55500.000000000044,No
2015-12-03,99.5,111.1,-0.6955806098182966,,,,,,55500.000000000044,No
2015-12-04,101.45,112.85,-0.19711441315079928,,,,,,55500.000000000044,No
2015-12-07,99.35,112.3,-1.6286661654451182,,,,,,55500.000000000044,No
2015-12-08,98.7,113.8,-3.0832848507274444,,,,,,55500.000000000044,No
2015-12-09,99.95,113.9,-1.2523457015606243,,,,,,55500.000000000044,No
2015-12-10,99.65,114.05,-1.3016773106184458,,,,,,55500.000000000044,No
2015-12-11,99.95,116.15,-2.4091871002345524,,,,,,55500.000000000044,No
2015-12-14,100.3,116.45,-1.7007350350061885,,,,,,55500.000000000044,No
2015-12-15,98.55,113.5,-0.8870280454874084,,,,,,55500.000000000044,No
2015-12-16,99.55,110.9,1.2592766415443595,,,,,,55500.000000000044,No
2015-12-17,98.5,107.8,2.4580355407353296,,,,,,55500.000000000044,No
2015-12-18,99.6,111.8,0.6258727562014196,,,,,,55500.000000000044,No
2015-12-21,100.45,115.0,-0.3675749882289671,,,,,,55500.000000000044,No
2015-12-22,99.7,113.2,0.15120525572992607,,,,,,55500.000000000044,No
2015-12-23,101.5,115.4,-0.006037216817423596,,,,,,55500.000000000044,No
2015-12-24,100.8,115.2,-0.3084332797852456,,,,,,55500.000000000044,No
2015-12-28,100.55,115.0,-0.35912908827114515,,,,,,55500.000000000044,No
2015-12-29,100.7,117.7,-1.8068238594832073,,,,,,55500.000000000044,No
2015-12-30,101.15,119.2,-2.1316679853676037,,,,,,55500.000000000044,No
2015-12-31,100.15,118.05,-1.7206294580549555,,,,,,55500.000000000044,No
2016-01-01,100.35,118.55,-1.4734754523926943,,,,,,55500.000000000044,No
2016-01-04,98.85,116.7,-1.336394363448698,,,,,,55500.000000000044,No
